,K2_value,Initial_population_list,optimum_C_value
0,0.5,500,0.95
1,0.75,500,0.45
2,1.0,500,0.2
3,1.25,500,0.05
4,1.5,500,0.0
5,1.75,500,-0.1
6,2.0,500,-0.15
7,2.25,500,-0.2
8,2.5,500,-0.2
9,2.75,500,-0.25
10,3.0,500,-0.25
11,3.25,500,-0.3
12,3.5,500,-0.3
13,3.75,500,-0.3
14,4.0,500,-0.35
15,4.25,500,-0.35
16,4.5,500,-0.35
17,4.75,500,-0.35
18,5.0,500,-0.35
19,5.25,500,-0.35
20,5.5,500,-0.4
21,5.75,500,-0.4
22,6.0,500,-0.4
23,6.25,500,-0.4
24,6.5,500,-0.4
25,6.75,500,-0.4
26,7.0,500,-0.4
27,7.25,500,-0.4
28,7.5,500,-0.4
29,7.75,500,-0.4
30,8.0,500,-0.45
31,8.25,500,-0.45
32,8.5,500,-0.45
33,8.75,500,-0.45
34,9.0,500,-0.45
35,9.25,500,-0.45
36,9.5,500,-0.45
37,9.75,500,-0.45
38,0.5,750,1.4
39,0.75,750,0.8
40,1.0,750,0.55
41,1.25,750,0.4
42,1.5,750,0.25
43,1.75,750,0.15
44,2.0,750,0.1
45,2.25,750,0.05
46,2.5,750,0.0
47,2.75,750,0.0
48,3.0,750,-0.05
49,3.25,750,-0.05
50,3.5,750,-0.1
51,3.75,750,-0.05
52,4.0,750,-0.1
53,4.25,750,-0.1
54,4.5,750,-0.1
55,4.75,750,-0.1
56,5.0,750,-0.15
57,5.25,750,-0.15
58,5.5,750,-0.15
59,5.75,750,-0.15
60,6.0,750,-0.15
61,6.25,750,-0.2
62,6.5,750,-0.2
63,6.75,750,-0.15
64,7.0,750,-0.15
65,7.25,750,-0.2
66,7.5,750,-0.2
67,7.75,750,-0.2
68,8.0,750,-0.2
69,8.25,750,-0.2
70,8.5,750,-0.2
71,8.75,750,-0.2
72,9.0,750,-0.2
73,9.25,750,-0.2
74,9.5,750,-0.25
75,9.75,750,-0.2
76,0.5,1000,1.45
77,0.75,1000,0.9
78,1.0,1000,0.6
79,1.25,1000,0.45
80,1.5,1000,0.35
81,1.75,1000,0.25
82,2.0,1000,0.15
83,2.25,1000,0.1
84,2.5,1000,0.1
85,2.75,1000,0.05
86,3.0,1000,0.0
87,3.25,1000,0.0
88,3.5,1000,0.0
89,3.75,1000,0.0
90,4.0,1000,-0.05
91,4.25,1000,-0.05
92,4.5,1000,-0.05
93,4.75,1000,-0.1
94,5.0,1000,-0.1
95,5.25,1000,-0.1
96,5.5,1000,-0.1
97,5.75,1000,-0.1
98,6.0,1000,-0.1
99,6.25,1000,-0.1
100,6.5,1000,-0.1
101,6.75,1000,-0.15
102,7.0,1000,-0.15
103,7.25,1000,-0.15
104,7.5,1000,-0.15
105,7.75,1000,-0.15
106,8.0,1000,-0.15
107,8.25,1000,-0.15
108,8.5,1000,-0.15
109,8.75,1000,-0.15
110,9.0,1000,-0.15
111,9.25,1000,-0.15
112,9.5,1000,-0.15
113,9.75,1000,-0.15
114,0.5,1250,1.55
115,0.75,1250,1.0
116,1.0,1250,0.7
117,1.25,1250,0.45
118,1.5,1250,0.4
119,1.75,1250,0.3
120,2.0,1250,0.15
121,2.25,1250,0.2
122,2.5,1250,0.1
123,2.75,1250,0.15
124,3.0,1250,0.1
125,3.25,1250,0.1
126,3.5,1250,0.05
127,3.75,1250,0.05
128,4.0,1250,-0.05
129,4.25,1250,0.0
130,4.5,1250,-0.05
131,4.75,1250,-0.05
132,5.0,1250,-0.05
133,5.25,1250,-0.05
134,5.5,1250,-0.05
135,5.75,1250,-0.05
136,6.0,1250,-0.05
137,6.25,1250,-0.1
138,6.5,1250,-0.05
139,6.75,1250,-0.05
140,7.0,1250,-0.1
141,7.25,1250,-0.1
142,7.5,1250,-0.1
143,7.75,1250,-0.1
144,8.0,1250,-0.05
145,8.25,1250,-0.1
146,8.5,1250,-0.1
147,8.75,1250,-0.1
148,9.0,1250,-0.1
149,9.25,1250,-0.1
150,9.5,1250,-0.1
151,9.75,1250,-0.25
152,0.5,1500,1.65
153,0.75,1500,1.05
154,1.0,1500,0.75
155,1.25,1500,0.55
156,1.5,1500,0.45
157,1.75,1500,0.35
158,2.0,1500,0.3
159,2.25,1500,0.2
160,2.5,1500,0.2
161,2.75,1500,0.2
162,3.0,1500,0.1
163,3.25,1500,0.1
164,3.5,1500,0.1
165,3.75,1500,0.1
166,4.0,1500,0.05
167,4.25,1500,0.05
168,4.5,1500,0.0
169,4.75,1500,0.0
170,5.0,1500,0.0
171,5.25,1500,0.0
172,5.5,1500,0.0
173,5.75,1500,0.0
174,6.0,1500,0.0
175,6.25,1500,0.0
176,6.5,1500,0.0
177,6.75,1500,-0.05
178,7.0,1500,-0.05
179,7.25,1500,-0.05
180,7.5,1500,-0.05
181,7.75,1500,-0.05
182,8.0,1500,-0.05
183,8.25,1500,-0.05
184,8.5,1500,-0.05
185,8.75,1500,-0.05
186,9.0,1500,-0.05
187,9.25,1500,-0.05
188,9.5,1500,-0.1
189,9.75,1500,-0.1
190,0.5,1750,1.7
191,0.75,1750,1.1
192,1.0,1750,0.8
193,1.25,1750,0.6
194,1.5,1750,0.45
195,1.75,1750,0.4
196,2.0,1750,0.3
197,2.25,1750,0.25
198,2.5,1750,0.2
199,2.75,1750,0.2
200,3.0,1750,0.15
201,3.25,1750,0.15
202,3.5,1750,0.1
203,3.75,1750,0.1
204,4.0,1750,0.05
205,4.25,1750,0.05
206,4.5,1750,0.05
207,4.75,1750,0.05
208,5.0,1750,0.05
209,5.25,1750,0.05
210,5.5,1750,0.05
211,5.75,1750,0.0
212,6.0,1750,0.0
213,6.25,1750,-0.05
214,6.5,1750,0.0
215,6.75,1750,-0.05
216,7.0,1750,-0.1
217,7.25,1750,-0.05
218,7.5,1750,-0.05
219,7.75,1750,-0.05
220,8.0,1750,-0.05
221,8.25,1750,-0.05
222,8.5,1750,-0.05
223,8.75,1750,-0.05
224,9.0,1750,-0.05
225,9.25,1750,-0.05
226,9.5,1750,-0.05
227,9.75,1750,-0.05
228,0.5,2000,1.75
229,0.75,2000,1.1
230,1.0,2000,0.8
231,1.25,2000,0.6
232,1.5,2000,0.5
233,1.75,2000,0.4
234,2.0,2000,0.35
235,2.25,2000,0.25
236,2.5,2000,0.25
237,2.75,2000,0.2
238,3.0,2000,0.15
239,3.25,2000,0.15
240,3.5,2000,0.15
241,3.75,2000,0.15
242,4.0,2000,0.1
243,4.25,2000,0.1
244,4.5,2000,0.05
245,4.75,2000,0.05
246,5.0,2000,0.05
247,5.25,2000,0.05
248,5.5,2000,0.05
249,5.75,2000,0.05
250,6.0,2000,0.05
251,6.25,2000,0.05
252,6.5,2000,0.05
253,6.75,2000,0.0
254,7.0,2000,0.0
255,7.25,2000,0.0
256,7.5,2000,0.0
257,7.75,2000,0.0
258,8.0,2000,0.0
259,8.25,2000,0.0
260,8.5,2000,-0.05
261,8.75,2000,-0.05
262,9.0,2000,-0.05
263,9.25,2000,-0.05
264,9.5,2000,-0.05
265,9.75,2000,-0.05
266,0.5,2250,1.75
267,0.75,2250,1.05
268,1.0,2250,0.8
269,1.25,2250,0.65
270,1.5,2250,0.45
271,1.75,2250,0.4
272,2.0,2250,0.35
273,2.25,2250,0.2
274,2.5,2250,0.25
