,K2_value,Initial_population_list,number_of_generations_range,optimum_C_value
0,0.5,500,1,0.9
1,0.5,500,2,1.05
2,0.5,500,3,1.05
3,0.5,500,4,1.05
4,0.5,500,5,1.1
5,0.5,500,6,1.1
6,0.5,500,7,1.1
7,0.5,500,8,1.1
8,0.5,500,9,1.1
9,1.0,500,1,0.2
10,1.0,500,2,0.3
11,1.0,500,3,0.3
12,1.0,500,4,0.3
13,1.0,500,5,0.3
14,1.0,500,6,0.3
15,1.0,500,7,0.3
16,1.0,500,8,0.35
17,1.0,500,9,0.35
18,1.5,500,1,-0.05
19,1.5,500,2,0.05
20,1.5,500,3,0.05
21,1.5,500,4,0.05
22,1.5,500,5,0.05
23,1.5,500,6,0.05
24,1.5,500,7,0.05
25,1.5,500,8,0.05
26,1.5,500,9,0.05
27,2.0,500,1,-0.15
28,2.0,500,2,-0.1
29,2.0,500,3,-0.1
30,2.0,500,4,-0.05
31,2.0,500,5,-0.05
32,2.0,500,6,-0.05
33,2.0,500,7,-0.05
34,2.0,500,8,-0.05
35,2.0,500,9,-0.05
36,2.5,500,1,-0.25
37,2.5,500,2,-0.15
38,2.5,500,3,-0.15
39,2.5,500,4,-0.15
40,2.5,500,5,-0.15
41,2.5,500,6,-0.15
42,2.5,500,7,-0.15
43,2.5,500,8,-0.15
44,2.5,500,9,-0.15
45,3.0,500,1,-0.3
46,3.0,500,2,-0.25
47,3.0,500,3,-0.2
48,3.0,500,4,-0.2
49,3.0,500,5,-0.2
50,3.0,500,6,-0.2
51,3.0,500,7,-0.2
52,3.0,500,8,-0.2
53,3.0,500,9,-0.2
54,3.5,500,1,-0.35
55,3.5,500,2,-0.25
56,3.5,500,3,-0.25
57,3.5,500,4,-0.25
58,3.5,500,5,-0.25
59,3.5,500,6,-0.2
60,3.5,500,7,-0.25
61,3.5,500,8,-0.2
62,3.5,500,9,-0.2
63,4.0,500,1,-0.35
64,4.0,500,2,-0.3
65,4.0,500,3,-0.25
66,4.0,500,4,-0.25
67,4.0,500,5,-0.25
68,4.0,500,6,-0.25
69,4.0,500,7,-0.25
70,4.0,500,8,-0.25
71,4.0,500,9,-0.25
72,4.5,500,1,-0.35
73,4.5,500,2,-0.3
74,4.5,500,3,-0.3
75,4.5,500,4,-0.3
76,4.5,500,5,-0.3
77,4.5,500,6,-0.25
78,4.5,500,7,-0.25
79,4.5,500,8,-0.25
80,4.5,500,9,-0.25
81,0.5,1000,1,1.4
82,0.5,1000,2,1.5
83,0.5,1000,3,1.55
84,0.5,1000,4,1.5
85,0.5,1000,5,1.5
86,0.5,1000,6,1.5
87,0.5,1000,7,1.5
88,0.5,1000,8,1.5
89,0.5,1000,9,1.5
90,1.0,1000,1,0.55
91,1.0,1000,2,0.65
92,1.0,1000,3,0.65
93,1.0,1000,4,0.65
94,1.0,1000,5,0.65
95,1.0,1000,6,0.65
96,1.0,1000,7,0.65
97,1.0,1000,8,0.65
98,1.0,1000,9,0.65
99,1.5,1000,1,0.3
100,1.5,1000,2,0.35
101,1.5,1000,3,0.35
102,1.5,1000,4,0.4
103,1.5,1000,5,0.4
104,1.5,1000,6,0.4
105,1.5,1000,7,0.3
106,1.5,1000,8,0.3
107,1.5,1000,9,0.25
108,2.0,1000,1,0.15
109,2.0,1000,2,0.2
110,2.0,1000,3,0.2
111,2.0,1000,4,0.25
112,2.0,1000,5,0.25
113,2.0,1000,6,0.25
114,2.0,1000,7,0.25
115,2.0,1000,8,0.2
116,2.0,1000,9,0.2
117,2.5,1000,1,0.05
118,2.5,1000,2,0.1
119,2.5,1000,3,0.15
120,2.5,1000,4,0.15
121,2.5,1000,5,0.15
122,2.5,1000,6,0.15
123,2.5,1000,7,0.15
124,2.5,1000,8,0.15
125,2.5,1000,9,0.15
126,3.0,1000,1,0.0
127,3.0,1000,2,0.05
128,3.0,1000,3,0.05
129,3.0,1000,4,0.1
130,3.0,1000,5,0.1
131,3.0,1000,6,0.1
132,3.0,1000,7,0.1
133,3.0,1000,8,0.1
134,3.0,1000,9,0.1
135,3.5,1000,1,-0.05
136,3.5,1000,2,0.0
137,3.5,1000,3,0.0
138,3.5,1000,4,0.05
139,3.5,1000,5,0.05
140,3.5,1000,6,0.05
141,3.5,1000,7,0.05
142,3.5,1000,8,0.05
143,3.5,1000,9,0.05
144,4.0,1000,1,-0.05
145,4.0,1000,2,0.0
146,4.0,1000,3,0.0
147,4.0,1000,4,0.0
148,4.0,1000,5,0.0
149,4.0,1000,6,0.0
150,4.0,1000,7,0.0
151,4.0,1000,8,0.0
152,4.0,1000,9,0.0
153,4.5,1000,1,-0.1
154,4.5,1000,2,-0.05
155,4.5,1000,3,-0.05
156,4.5,1000,4,0.0
157,4.5,1000,5,0.0
158,4.5,1000,6,0.0
159,4.5,1000,7,0.0
160,4.5,1000,8,0.0
161,4.5,1000,9,0.0
162,0.5,1500,1,1.6
163,0.5,1500,2,1.65
164,0.5,1500,3,1.65
165,0.5,1500,4,1.5
166,0.5,1500,5,1.4
167,0.5,1500,6,1.4
168,0.5,1500,7,1.25
169,0.5,1500,8,1.25
170,0.5,1500,9,1.2
171,1.0,1500,1,0.7
172,1.0,1500,2,0.75
173,1.0,1500,3,0.75
174,1.0,1500,4,0.7
175,1.0,1500,5,0.6
176,1.0,1500,6,0.55
177,1.0,1500,7,0.55
178,1.0,1500,8,0.55
179,1.0,1500,9,0.45
180,1.5,1500,1,0.4
181,1.5,1500,2,0.45
182,1.5,1500,3,0.5
183,1.5,1500,4,0.45
184,1.5,1500,5,0.45
185,1.5,1500,6,0.35
186,1.5,1500,7,0.35
187,1.5,1500,8,0.35
188,1.5,1500,9,0.35
189,2.0,1500,1,0.25
190,2.0,1500,2,0.3
191,2.0,1500,3,0.3
192,2.0,1500,4,0.3
193,2.0,1500,5,0.3
194,2.0,1500,6,0.25
195,2.0,1500,7,0.25
196,2.0,1500,8,0.2
197,2.0,1500,9,0.2
198,2.5,1500,1,0.15
199,2.5,1500,2,0.2
200,2.5,1500,3,0.2
201,2.5,1500,4,0.25
202,2.5,1500,5,0.25
203,2.5,1500,6,0.2
204,2.5,1500,7,0.2
205,2.5,1500,8,0.15
206,2.5,1500,9,0.15
207,3.0,1500,1,0.1
208,3.0,1500,2,0.15
209,3.0,1500,3,0.15
210,3.0,1500,4,0.15
211,3.0,1500,5,0.15
212,3.0,1500,6,0.15
213,3.0,1500,7,0.15
214,3.0,1500,8,0.15
215,3.0,1500,9,0.15
216,3.5,1500,1,0.1
217,3.5,1500,2,0.1
